name,pages,extinct,gif,special,obtain
Antique occult sphere,armor/vortexhand|armor/vortexitems,0,photo/armor60/occultsphere.gif,Shadow Cave,Fatal ninja Special Info: Shadow Cave
Antique royal seal,armor/vortexhand|armor/vortexitems,0,photo/armor60/royalseal.gif,Bandit Cave,Mad king Special Info: Bandit Cave
Antique spirit mask,armor/vortexhand|armor/vortexitems,0,photo/armor60/spiritmask.gif,Anchorite Cave,Jaded Enchantress Special Info: Anchorite Cave
Antique steel bracelet,armor/vortexhand|armor/vortexitems,0,photo/armor60/steelbracelet.gif,Gray hand Cave,Bal bloodlust Special Info: Gray hand Cave
Antlers,items/crafts|items/shop|items/spells|items/vita,0,photo/items60/antlers.gif,,"Arena Shops, Dropped by Deers"
Apple,items/shop,0,photo/items60/apple.gif,,Taverns
Apple blossom fan,weapons/fans,0,,None,"Sept. 11, 2002 Event"
Apple fan,weapons/fans,0,,None,"Sept. 11, 2002 Event"
Aqua potion,items/potions,0,photo/items60/aquapotion.gif,,Zombies
Archon,armor/headitems,0,photo/armor60/archon.gif,None,Archon Only Special Info: None
Armor plated skin,items/woodlandsitems,0,photo/items60/armorplatedskin.gif,,Woodlands Cave: Raheem Desert Max Held in One Slot: 1 Creature: Desert scorpion
Assault Crossbow,weapons/bows,0,,Halloween Event 2012 & 2019,Must have killed 600 walking dead and Jae the Slice 2 times.
Autumn armor dress,armor/roguearmor,0,photo/armor60/autumnarmordress.gif,None,Smith Special Info: None
Autumn blouse,armor/roguearmor,0,photo/armor60/autumnblouse.gif,None,Seamstress Special Info: None
Autumn drapery,armor/poetarmor,0,photo/armor60/autumndrapery.gif,Can be sold at Sya's shop in KaMingÃÂ¯ÃÂ¿ÃÂ½s encampment.,Tailoring Special Info: Can be sold at Sya's shop in KaMingÃÂ¯ÃÂ¿ÃÂ½s encampment.
Autumn dress,armor/magearmor,0,photo/armor60/autumndress.gif,None,Seamtress Special Info: None
Autumn gown,armor/poetarmor,0,photo/armor60/autumngown.gif,None,Seamstress Special Info: None
Autumn helmet,armor/headitems,0,photo/armor60/autumnhelm.gif,None,Smith Special Info: None
Autumn mail dress,armor/warriorarmor,0,photo/armor60/autumnmaildress.gif,None,Smith Special Info: None
Autumn mantle,armor/poetarmor,0,photo/armor60/autumnmantle.gif,Can be sold at Sya's shop in KaMingÃÂ¯ÃÂ¿ÃÂ½s encampment.,Tailoring Special Info: Can be sold at Sya's shop in KaMingÃÂ¯ÃÂ¿ÃÂ½s encampment.
Autumn robes,armor/poetarmor,0,photo/armor60/autumnrobes.gif,None,Seams Special Info: None
Autumn skirt,armor/magearmor,0,photo/armor60/autumnskirt.gif,None,Seamstress Special Info: None
Autumn war dress,armor/warriorarmor,0,photo/armor60/autumnwardress.gif,None,Smith Special Info: None
Axe,items/crafts|items/shop|weapons/axes,0,photo/items60/axe.gif,Can be used for wood gathering,Shops
Azure cambium,armor/subaccessory,0,photo/armor60/azurecambium.gif,Used by Rogues and Warriors,Ice Dungeon 2009 Special Info: Used by Rogues and Warriors
Azure diamond,armor/subaccessory,0,photo/armor60/azurediamond.gif,Quest,Lost Mines Event 2009 Special Info: Quest
Azure medullary,armor/subaccessory,0,photo/armor60/azuremedullary.gif,Used by Mages and Poets,Ice Dungeon 2009 Special Info: Used by Mages and Poets
Azure silk,items/drops|items/woodlandsitems,0,photo/items60/azuresilk.gif,,Woodlands Rabbit Cave
Baekho casque,armor/headitems,0,photo/armor60/baekhocasque.gif,0,Obtained from jewellers Special Info: 0
Baekho circlet,armor/headitems,0,photo/armor60/baekhocirclet.gif,0,Obtained from jewellers Special Info: 0
Baekho helm,armor/headitems,0,photo/armor60/baekhohelm.gif,Bonded / Unrepairable,Baekho Shrine Special Info: Bonded / Unrepairable
Baekho helmet,armor/headitems,0,photo/armor60/baekhohelm.gif,Bonded / Unrepairable,Baekho Shrine Special Info: Bonded / Unrepairable
Baekho key,items/keys|items/spells,0,photo/items60/baekhokey.gif,,Mythic Tiger Key Bosses
Baekho rune,armor/headitems,0,photo/armor60/baekhorune.gif,0,Snow Tiger Invasion Event Special Info: 0
Baji jeogori,armor/coataccessory,0,photo/armor60/bajijeogori.gif,none,Obtaining as one of the possible rewards for siding with General HanXin at Pirates Event March 2007 Special Info: none
Bamboo,weapons/spears,0,photo/weapons60/bamboo.gif,,Given out during King Yuri's Funeral
Bamboo shield,armor/shields,0,photo/armor60/bambooshield.gif,Bonded,Nagnag Shield Quest Special Info: Bonded
Banana,items/events,0,photo/items60/banana.gif,,Early Pirate Events
Band of the Deep,armor/handitems,0,photo/armor60/bandofthedeep.gif,None,Dropped by Underwater boss in Gogoon Crab Cave Special Info: None
Baneful Glow,weapons/spears,0,photo/weapons60/banefulglow.gif,Break on Death,Imp Boss
Baronial Kagum Huan,weapons/swords,0,photo/weapons60/kagumhuan.gif,None,Side with General HanXin against the pirates
Baronial Kagum Xu,weapons/swords,0,photo/weapons60/kagumxu.gif,None,Pirate Event 2007
Baroque JangChang Chun,weapons/spears,0,photo/weapons60/jangchangchun.gif,,Event
Baroque JangChang Kui,weapons/spears,0,photo/weapons60/jangchangkui.gif,,Event
Basic buckler,armor/shields,0,photo/armor60/basicbuckler.gif,Bonded,Nagnag Shield Quest Special Info: Bonded
Basic sickle,items/crafts|items/shop,0,photo/items60/basicsickle.gif,,Shops
Bat Stick,weapons/swords,0,photo/weapons60/batstick.gif,Break on Death,Lost Mines Event - Hyul 27
Battle amulet,armor/handitems,0,photo/armor60/battleamulet.gif,Bonded,Nagnag Shield Quest Special Info: Bonded
Battle helm,armor/headitems,0,photo/armor60/battlehelm.gif,Break on Death,Monkey Item Boss Special Info: Break on Death
Battle rune,armor/handitems,0,photo/armor60/battlerune.gif,Bonded,Nagnag Shield Quest Special Info: Bonded
Battle sword,weapons/swords,0,photo/weapons60/battlesword.gif,None,Event
Battleaxe,weapons/axes,0,,BOD,Dropped by Sonhi Executioner in Sonhi hideout event May 2020
Beach batik shirt,armor/coataccessory,0,photo/armor60/beachbatikshirt.gif,None,Can be purchased with Pirate Coins on Gogoon Island Special Info: None
Bear brain,items/woodlandsitems,0,photo/items60/bearbrains.gif,,Woodlands Cave: Bear Max Held in One Slot: 1 Creature: Snow bear
Bear fur,items/vita,0,photo/items60/bearfur.gif,,Dropped by Bears in Vale north of the Buya entrance near the Great Gate.
Bear helm,armor/headitems,0,photo/armor60/bearhelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Bear helmet,armor/headitems,0,photo/armor60/bearhelm.gif,Bonded / Unrepairable,Clan Hall Special Info: Bonded / Unrepairable
Bear scalp,items/woodlandsitems,0,photo/items60/bearscalp.gif,,Woodlands Cave: Bear Max Held in One Slot: 1 Creature: Ice bear Lobster
Bear's champion,armor/handitems,0,photo/armor60/bearschampion.gif,,Frozen Tundra Special Info:
Bear's liver,items/drops|items/shop|items/spells|items/vita,0,photo/items60/liver.gif,,"Shops, monsters, poet Call of the Wild spell"
Bear's promise,armor/handitems,0,photo/armor60/bearspromise.gif,Break on Death,Frozen Tundra Boss Special Info: Break on Death
Bears tooth,items/drops|items/woodlandsitems,0,photo/items60/bearstooth.gif,,Woodlands Bear Cave
Beautiful fish,items/crafts|items/vita,0,photo/items60/fish.gif,,Fishing
Beautiful leather,items/drops|items/woodlandsitems,0,photo/items60/beautifulleather.gif,,Woodlands Snake Cave
Beef,items/crafts|items/drops,0,photo/items60/beef.gif,,"Mythic Oxen, Kugnae Mud Snake"
Bekyun's spear,weapons/spears,0,photo/weapons60/bekyunsspear.gif,None,Massive Scorpion
Belligerent kallal,weapons/swords,0,photo/weapons60/kallal.gif,Held by the Muse path which has voted not to disclose its stats.,Unobtainable
Big axe,weapons/axes,0,,None,Strange Thing
Bikini,armor/peasantarmor,0,photo/armor60/bikini.gif,None,NPC in Maze Game Special Info: None
Bird meat,items/crafts|items/drops|items/vita,0,photo/items60/birdmeat.gif,,Dropped by Pheasants in the Woodlands
Bird wing,items/woodlandsitems,0,photo/items60/birdwing.gif,,Woodlands Cave: Bear Max Held in One Slot: 5 Creature: San-shin Fur
Black cheogori,armor/peasantarmor,0,photo/armor60/blackcheogori.gif,(Bonded rare),King Yuri's Ball Special Info: (Bonded rare)
Black cheongsan,armor/peasantarmor,0,photo/armor60/blackcheongsan.gif,0,King Yuri's Ball Special Info: 0
Black dim shield,armor/shields,0,photo/armor60/blackshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","10th Anniversary Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Black dragon staff,weapons/spears,0,photo/weapons60/blackdragonstaff.gif,Rarely,This is the second Mystical weapon. Turn in a Leaf to get this.
Black dusk shield,armor/shields,0,photo/armor60/blackshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","10th Anniversary Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Black eclipse shield,armor/shields,0,photo/armor60/blackshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","2019 Thanksgiving Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Black firm gutuls,armor/subaccessory,0,photo/armor60/blacksturdygutuls.gif,Obtained in Hyul 1,Mongol Invasion Event Special Info: Obtained in Hyul 1
Black glowing flame,weapons/swords,0,photo/weapons60/blackglowingflame.gif,,This is the last Mystical weapon. Turn in Dragon staff to get this.
Black magoja,armor/peasantarmor,0,photo/armor60/blackmagoja.gif,(Bonded rare),King Yuri's Ball Special Info: (Bonded rare)
Black nightfall shield,armor/shields,0,photo/armor60/blackshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","10th Anniversary Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Black nocturnal shield,armor/shields,0,photo/armor60/blackshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","10th Anniversary Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Black remembrance garb,armor/coataccessory,0,photo/armor60/blackremembrancegarb.gif,,Thanksgiving Event 2007 Special Info:
Black remembrance gown,armor/coataccessory,0,photo/armor60/blackremembrancegown.gif,,Thanksgiving Event 2007 Special Info:
Black ring,armor/handitems,0,photo/armor60/bluering.gif,None,Ring Shop Special Info: None
Black shade leaf,weapons/spears,0,photo/weapons60/blackshadeleaf.gif,,This is the first Mystical weapon
Black soft gutuls,armor/subaccessory,0,photo/armor60/blacksturdygutuls.gif,Obtained in Hyul 1,Mongol Invasion Event Special Info: Obtained in Hyul 1
Black solid gutuls,armor/subaccessory,0,photo/armor60/blacksturdygutuls.gif,Obtained in Hyul 1,Mongol Invasion Event Special Info: Obtained in Hyul 1
Black sturdy gutuls,armor/subaccessory,0,photo/armor60/blacksturdygutuls.gif,Obtained in Hyul 1,Mongol Invasion Event Special Info: Obtained in Hyul 1
Black thick gutuls,armor/subaccessory,0,photo/armor60/blacksturdygutuls.gif,Obtained in Hyul 1,Mongol Invasion Event Special Info: Obtained in Hyul 1
Black twilight shield,armor/shields,0,photo/armor60/blackshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","10th Anniversary Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Black valkyrie,armor/peasantarmor,0,photo/armor60/blackvalkyrie.gif,(Bonded rare),King Yuri's Ball Special Info: (Bonded rare)
Blood,weapons/carnageprize|weapons/swords|weapons/swords,0,photo/weapons60/blood.gif,Break on Death,Legends or Higher Carnage Prize
Blood armor,armor/roguearmor,0,photo/armor60/bloodarmor.gif,None,Smith Special Info: None
Blood armor dress,armor/roguearmor,0,photo/armor60/bloodarmordress.gif,None,Smith Special Info: None
Blood garb,armor/magearmor,0,photo/armor60/bloodgarb.gif,None,Seams Special Info: None
Blood helm,armor/headitems,0,photo/armor60/bloodhelm.gif,None,Smith Special Info: None
Blood helmet,armor/headitems,0,photo/armor60/bloodhelm.gif,None,Smith Special Info: None
Blood magoja,armor/peasantarmor,0,photo/armor60/bloodmagoja.gif,Bonded rare,King Yuri's Ball Special Info: Bonded rare
Blood mail dress,armor/warriorarmor,0,photo/armor60/bloodmaildress.gif,None,Smith Special Info: None
Blood mantle,armor/poetarmor,0,photo/armor60/bloodmantle.gif,Can be sold at Sya's shop in KaMingÃÂ¯ÃÂ¿ÃÂ½s encampment.,Tailoring Special Info: Can be sold at Sya's shop in KaMingÃÂ¯ÃÂ¿ÃÂ½s encampment.
Blood robes,armor/poetarmor,0,photo/armor60/bloodrobes.gif,None,Seams Special Info: None
Blood scale mail,armor/warriorarmor,0,photo/armor60/bloodscalemail.gif,None,Smith Special Info: None
Blood tiger mail,armor/warriorarmor,0,photo/armor60/bloodwarplatemail.gif,None,Chongun Quest Special Info: None
Blood tigress,armor/warriorarmor,0,photo/armor60/bloodtigress.gif,None,Chongun Quest Special Info: None
Blood waistcoat,armor/roguearmor,0,photo/armor60/bloodwaistcoat.gif,None,Seams Special Info: None
Blood war dress,armor/warriorarmor,0,photo/armor60/bloodwardress.gif,None,Smith Special Info: None
Blood war platemail,armor/warriorarmor,0,photo/armor60/bloodwarplatemail.gif,None,Smith Special Info: None
Bloodstained quill,items/drops|items/woodlandsitems,0,photo/items60/bloodstainedquill.gif,,Woodlands Rabbit Cave
Bloody mary suit,armor/coataccessory,0,photo/armor60/bloodymarysuit.gif,Wear this along with Bloody mary disguise to be able to Trick or Treat,Dropped Halloween Events spooks Special Info: Wear this along with Bloody mary disguise to be able to Trick or Treat
Blue cheongsan,armor/peasantarmor,0,photo/armor60/bluecheongsan.gif,Bonded rare,King Yuri's Ball Special Info: Bonded rare
Blue deluge shield,armor/shields,0,photo/armor60/blueshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","10th Anniversary Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Blue dopo,armor/peasantarmor,0,photo/armor60/bluedopo.gif,Bonded rare,King Yuri's Ball Special Info: Bonded rare
Blue dragon longsword,weapons/extinct|weapons/spears,1,photo/weapons60/destinyspear.gif,Beta Weapon - Also 3.0 Constable (Justice Department) Weapon,Beta-3.0 Weapon
Blue dragon staff,weapons/spears,0,photo/weapons60/bluedragonstaff.gif,Rarely,This is the second Mystical weapon. Turn in a Leaf to get this.
Blue glowing flame,weapons/swords,0,photo/weapons60/blueglowingflame.gif,,This is the last Mystical weapon. Turn in Dragon staff to get this.
Blue kinkotot,armor/peasantarmor,0,photo/armor60/bluekinkotot.gif,Bonded rare,King Yuri's Ball Special Info: Bonded rare
Blue magoja,armor/peasantarmor,0,photo/armor60/bluemagoja.gif,Bonded rare,King Yuri's Ball Special Info: Bonded rare
Blue plethora shield,armor/shields,0,photo/armor60/blueshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","2019 Thanksgiving Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Blue potion,items/vita,0,photo/items60/bluepotion.gif,,Potion Shops
Blue rage shield,armor/shields,0,photo/armor60/blueshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","10th Anniversary Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Blue remembrance garb,armor/coataccessory,0,photo/armor60/blueremembrancegarb.gif,,Thanksgiving Event 2007 Special Info:
Blue remembrance gown,armor/coataccessory,0,photo/armor60/blueremembrancegown.gif,,Thanksgiving Event 2007 Special Info:
Blue reverb shield,armor/shields,0,photo/armor60/blueshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","10th Anniversary Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Blue ring,armor/handitems,0,photo/armor60/blackring.gif,None,Ring Shop Special Info: None
Blue sentai armor,armor/coataccessory,0,photo/armor60/sentaiarmor-blue.gif,Temporary item that can be worn during April Fools' events,Spawns on floor during April's fools events Special Info: Temporary item that can be worn during April Fools' events
Blue sentai helm,armor/subaccessory,0,photo/armor60/sentaihelm-blue.gif,Temporary item that can be worn during April Fools' events,Spawns on floor during April's fools events Special Info: Temporary item that can be worn during April Fools' events
Blue shade leaf,weapons/spears,0,photo/weapons60/blueshadeleaf.gif,,This is the first Mystical weapon
Blue thunder shield,armor/shields,0,photo/armor60/blueshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","10th Anniversary Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Blue torrent shield,armor/shields,0,photo/armor60/blueshield.gif,"Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White","10th Anniversary Pirate Event Special Info: Non-Bonded - All Pirate Shields come in Black, Blue, Copper, Frost, Gold, Jade, Pink, Purple, Red & White"
Blue valkyrie,armor/peasantarmor,0,photo/armor60/bluevalkyrie.gif,Bonded (unbonded rare),King Yuri's Ball Special Info: Bonded (unbonded rare)
Bluestone's Ring,armor/handitems,0,photo/armor60/amethystring.gif,Unknown,Pirates Special Info: Unknown
Boiled beef,items/crafts|items/vita,0,photo/items60/boiledbeef.gif,,Made by chefs
Boiled fish,items/crafts|items/vita,0,photo/items60/boiledfish.gif,,Made by food preparers
Boiled pork,items/crafts|items/vita,0,photo/items60/boiledpork.gif,,Chefs
Bone mender,weapons/swords,0,photo/weapons60/bonemender.gif,,Dropped by various creatures in Alt Kugnae
Bones of clumsy intruder,armor/subaccessory,0,photo/armor60/bonesofclumsyintruder.gif,Drop,Lost Mines Event 2011. Special Info: Drop
Bones of devout seeker,armor/subaccessory,0,photo/armor60/bonesofdevoutseeker.gif,Drop,Lost Mines Event 2011 Special Info: Drop
Bones of exhausted traveler,armor/subaccessory,0,photo/armor60/bonesofexhaustedtraveler.gif,Drop,Lost Mines Event 2011 Special Info: Drop
Bones of fearless researcher,armor/subaccessory,0,photo/armor60/bonesoffearlessresearcher.gif,Drop,Lost Mines Event 2011 Special Info: Drop
Bones of hopeless adventurer,armor/subaccessory,0,photo/armor60/bonesofhopelessadventurer.gif,Drop,Lost Mines Event 2011 Special Info: Drop
Bones of klutzy intruder,armor/subaccessory,0,photo/armor60/bonesofklutzyintruder.gif,Drop,Lost Mines Event 2011 Special Info: Drop
Bones of lost trekker,armor/subaccessory,0,photo/armor60/bonesoflosttrekker.gif,Drop,Lost Mines Event 2011 Special Info: Drop
Bones of puzzled trekker,armor/subaccessory,0,photo/armor60/bonesofpuzzledtrekker.gif,Drop,Lost Mines Event 2011 Special Info: Drop
